                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.0693,                  1.031,                 1.0385,                  0.752,                0.88799,                0.88177,                 0.5935,                 1.1564,                 1.2158,                 1.0598,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0639,                 1.0672,                 1.0073,                0.79396,                 0.8717,                0.89717,                0.62549,                 1.0607,                 1.0296,                 1.0353,               0.007822,               0.007822,               0.007822
                     46,                 1.0413,                 1.0111,                 1.0139,                0.74737,                0.87845,                0.89349,                0.63962,                 1.0552,                  1.061,                 1.0382,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0793,                 1.0074,                 1.0366,                0.80433,                0.91828,                0.93492,                0.64599,                 1.1349,                 1.0397,                 1.0649,               0.007723,               0.007723,               0.007723
                     48,                 1.1143,                 1.0545,                 1.0432,                0.90298,                0.91453,                0.94808,                0.66204,                 1.1038,                0.88756,                 1.0405,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0426,                0.96362,                 1.0259,                0.89643,                0.89633,                0.95602,                0.68674,                 1.0524,                0.91168,                 1.0258,               0.007624,               0.007624,               0.007624
                     50,                 1.0827,                0.94959,                  1.046,                0.59537,                0.65564,                 0.6838,                0.43132,                 1.3815,                 1.4056,                 1.1409,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.048,                0.92643,                 1.0265,                0.86444,                0.87141,                0.92685,                0.60925,                 1.2305,                 1.0658,                 1.0911,               0.007525,               0.007525,               0.007525
                     52,                 1.0601,                0.92943,                 1.0511,                0.91619,                 0.9707,                0.96989,                0.70915,                 1.0599,                0.85651,                 1.0296,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0632,                0.90182,                 1.0012,                0.91022,                0.95184,                0.97225,                0.65444,                 1.1348,                0.90439,                 1.0575,               0.007426,               0.007426,               0.007426
                     54,                  1.041,                0.89214,                 1.0156,                0.92051,                0.93226,                0.96291,                0.69392,                 1.0366,                0.84352,                 1.0157,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0566,                0.88719,                 1.0128,                0.93607,                0.93986,                0.95766,                  0.664,                 1.0887,                0.85129,                 1.0389,               0.007327,               0.007327,               0.007327
                     56,                 1.0848,                0.90747,                 1.0103,                0.91939,                0.94744,                0.97082,                 0.6983,                 1.0396,                0.83738,                 1.0426,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0635,                0.89877,                 1.0132,                0.93008,                0.94411,                0.96038,                0.67907,                 1.0948,                0.82924,                 1.0407,               0.007228,               0.007228,               0.007228
                     58,                 1.0558,                0.88725,                 1.0037,                0.93052,                0.92964,                0.96045,                0.68764,                 1.0473,                0.86945,                 1.0363,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0906,                 0.8713,                 1.0195,                0.89448,                 0.8689,                0.95835,                0.66826,                 1.0786,                0.88528,                 1.0432,               0.007129,               0.007129,               0.007129
